date,type,state,district,property_type,properties
2024-07-01,unsold_not_constructed,Johor,Tangkak,detached,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,flat,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,townhouse,0
2024-07-01,unsold_under_construction,Johor,Tangkak,all,147
2024-07-01,unsold_under_construction,Johor,Tangkak,cluster,0
2024-07-01,unsold_under_construction,Johor,Tangkak,condominium,0
2024-07-01,unsold_under_construction,Johor,Tangkak,detached,78
2024-07-01,unsold_under_construction,Johor,Tangkak,flat,0
2024-07-01,unsold_under_construction,Johor,Tangkak,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Tangkak,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Tangkak,semidetached-1-storey,12
2024-07-01,unsold_under_construction,Johor,Tangkak,semidetached-2-3-storey,10
2024-07-01,unsold_under_construction,Johor,Tangkak,terrace-1-storey,12
2024-07-01,unsold_under_construction,Johor,Tangkak,terrace-2-3-storey,35
2024-07-01,unsold_under_construction,Johor,Tangkak,townhouse,0
2024-07-01,overhang,Kedah,All,all,451
2024-07-01,overhang,Kedah,All,cluster,0
2024-07-01,overhang,Kedah,All,condominium,142
2024-07-01,overhang,Kedah,All,detached,10
2024-07-01,overhang,Kedah,All,flat,0
2024-07-01,overhang,Kedah,All,flat-lowcost,0
2024-07-01,overhang,Kedah,All,house-lowcost,46
2024-07-01,overhang,Kedah,All,semidetached-1-storey,79
2024-07-01,overhang,Kedah,All,semidetached-2-3-storey,23
2024-07-01,overhang,Kedah,All,terrace-1-storey,94
2024-07-01,overhang,Kedah,All,terrace-2-3-storey,57
2024-07-01,overhang,Kedah,All,townhouse,0
2024-07-01,unsold_not_constructed,Kedah,All,all,378
2024-07-01,unsold_not_constructed,Kedah,All,cluster,0
2024-07-01,unsold_not_constructed,Kedah,All,condominium,0
2024-07-01,unsold_not_constructed,Kedah,All,detached,1
2024-07-01,unsold_not_constructed,Kedah,All,flat,0
2024-07-01,unsold_not_constructed,Kedah,All,flat-lowcost,0
2024-07-01,unsold_not_constructed,Kedah,All,house-lowcost,0
2024-07-01,unsold_not_constructed,Kedah,All,semidetached-1-storey,110
2024-07-01,unsold_not_constructed,Kedah,All,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Kedah,All,terrace-1-storey,267
2024-07-01,unsold_not_constructed,Kedah,All,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Kedah,All,townhouse,0
2024-07-01,unsold_under_construction,Kedah,All,all,2810
2024-07-01,unsold_under_construction,Kedah,All,cluster,105
2024-07-01,unsold_under_construction,Kedah,All,condominium,30
2024-07-01,unsold_under_construction,Kedah,All,detached,182
2024-07-01,unsold_under_construction,Kedah,All,flat,0
2024-07-01,unsold_under_construction,Kedah,All,flat-lowcost,0
